SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal,Cluster
O=c1[nH]cnc2c1ncn2[C@@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1,ligprep_CSK_2.sdf:14345,51700,Done,14.02,-9.06507,glide-grid_CSK,-9.16767,-0.896243,-0.769068,0,-2.72379,-28.5776,-24.2085,0.411606,-0.130014,-96.1102,-52.7861,0.590449,10
[NH3+]CC(=O)Nc1cncc(-c2nn3c(=O)cc(N4CC[NH2+]CC4)[nH+]c3s2)c1,ligprep_CSK_2.sdf:3249,10421,Done,4.44,-9.06072,glide-grid_CSK,-9.35412,-2.81451,-0.515082,0,-2.23139,-40.7872,-14.3268,0.514107,-0.118866,-98.3994,-55.114,6.92588,17
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:5267,16788,Done,13.37,-9.05994,glide-grid_CSK,-9.05994,-0.996855,-0.518195,0,-3.21261,-35.0874,-20.1858,0.552591,-0.102632,-86.8926,-55.2732,11.7579,7
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC([NH3+])CC4)c3n2)COC1,ligprep_CSK_2.sdf:2450,8334,Done,9.61,-9.04965,glide-grid_CSK,-9.06615,-2.71183,-0.475844,0,-2.17888,-43.0127,-13.4516,0.506034,-0.0372523,-85.0371,-56.4642,5.71997,17
O=C(c1ccccc1)c1ccc2[nH]c(NC(=O)c3csc(C4CCN(c5ncnc6ccsc56)CC4)n3)nc2c1,ligprep_CSK_2.sdf:3175,10221,Done,3.72,-9.04868,glide-grid_CSK,-9.86328,-4.1237,-0.135444,0,-1.56698,-60.084,-8.03747,0.369994,-0.197324,-106.336,-68.1215,3.41995,8
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3153,10150,Done,64.37,-9.04372,glide-grid_CSK,-10.6911,-1.82374,-1.34448,0,-1.18246,-52.997,-36.0877,0.722759,-0.413354,-137.47,-89.0847,29.0095,1
Nc1nn(O)c2ccccc2[n+]1=O,ligprep_CSK_2.sdf:5431,17239,Done,0.76,-9.02906,glide-grid_CSK,-9.02906,-1.37486,-0.737637,0,-4.33854,-22.8271,-9.57785,0,0,-56.11,-32.405,0.00473414,17
C[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,ligprep_CSK_2.sdf:20072,63303,Done,2.58,-9.02526,glide-grid_CSK,-9.02526,-1.10685,-0.291725,0,-4.19832,-27.5413,-14.9709,0.194342,0,-61.7941,-42.5122,3.21352,7
Cn1c(=O)c2cc3cc(F)ccc3nc2c2c(=O)n(-c3ccccc3)c(=O)n(-c3ccccc3)c21,ligprep_CSK_2.sdf:30939,81001,Done,1.74,-9.02271,glide-grid_CSK,-9.02271,-3.81469,-0.32,0,-1.99517,-50.8269,-3.58943,0.186912,0,-81.3763,-54.4163,1.63448,2
CSc1nc(SC)c2c3c(N)ncnc3n([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)c2n1,ligprep_CSK_2.sdf:17254,58000,Done,6.27,-9.01851,glide-grid_CSK,-9.01851,-1.80158,-0.580234,0,-3.2056,-40.9543,-10.3138,0.163695,0,-78.391,-51.2682,1.01243,0
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11046,Done,86.34,-9.01299,glide-grid_CSK,-10.8537,-0.961073,-1.83362,0,-0.727548,-61.6606,-41.9656,0.436001,-0.684428,-179.219,-103.626,37.7897,3
CC(C)[C@H](NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CO)NC(=O)[C@@H]([NH3+])Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,ligprep_CSK_2.sdf:3153,10143,Done,57.75,-9.00837,glide-grid_CSK,-10.1714,-2.22763,-1.12724,0,-0.848001,-43.4146,-33.1055,0.722759,-0.520531,-139.1,-76.5201,20.1977,1
Cc1cc(Nc2ncc3c(n2)N(C)C(=O)N(c2cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc2C)C3)n(C)n1,ligprep_CSK_2.sdf:1144,3596,Done,5.09,-9.00607,glide-grid_CSK,-9.00607,-2.7249,-0.496452,0,-2.15741,-55.485,-6.6538,0.238918,-0.093904,-86.9868,-62.1388,11.3252,17
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11035,Done,64.15,-9.00232,glide-grid_CSK,-10.4505,-1.95616,-0.829171,0,-1.38303,-44.8956,-28.6087,0.432796,-0.470178,-132.342,-73.5043,19.7558,3
